Rank,GermanName,EnglishName,Neighbourhood,Category,WikiLink,GMapsLink,FrontPictureName,BackPictureName,NCoordinate,ECoordinate,SmallDescription,Description
103,Basiliskenbrunnen,,Altstadt Grossbasel,Fountain,,https://maps.app.goo.gl/xLbxdP2tHmAsRYm48,card053.jpg,card553.jpg,47.55653161,7.588653436,,
104,Antoniuskirche,,St. Johann,Monuments,,https://maps.app.goo.gl/a8RyGLBh4K7eesPv7,card054.jpg,card554.jpg,47.56371705,7.573094594,,
105,St. Johanns Tor,,Vorstaedte,Monuments,,https://maps.app.goo.gl/mmbK7DCDzQC5r2Js8,card055.jpg,card555.jpg,47.56648185,7.582022439,,
106,Lohnhof,,Altstadt Grossbasel,Monuments,,https://maps.app.goo.gl/hRoX4MxJuYLzSavk9,card056.jpg,card556.jpg,47.55506699,7.588252713,,
108,St. Alban Tor,,Vorstaedte,Monuments,,https://maps.app.goo.gl/iBzqX6NfMRiHnbj29,card058.jpg,card558.jpg,47.55324721,7.603194146,,
110,Basler Papiermuehle Museum,,Vorstaedte,Museum,,https://maps.app.goo.gl/NzkWiM2APXCWHjWq8,card060.jpg,card560.jpg,47.55473489,7.603455327,,
111,Jean Tinguely Museum,,Wettstein,Museum,,https://maps.app.goo.gl/NiFdskRiWHhHUmvh7,card061.jpg,card561.jpg,47.55907947,7.612235539,,
112,Spielzeug Welten Museum Basel,,Altstadt Grossbasel,Museum,,https://maps.app.goo.gl/dU39rUXjxpop9jmq8,card062.jpg,card562.jpg,47.55392973,7.589095702,,
113,Naturhistorisches Museum Basel,,Altstadt Grossbasel,Museum,,https://maps.app.goo.gl/jXXxejbDPN5BgYXa7,card063.jpg,card563.jpg,47.55769274,7.590489363,,
115,Pharmaziemuseum Universitaet Basel,,Altstadt Grossbasel,Museum,,https://maps.app.goo.gl/Dd5F4EDTunmkdc5v5,card065.jpg,card565.jpg,47.55861127,7.586127331,,
116,Historisches Museum Basel - Baerfusserkirche,,Altstadt Grossbasel,Museum,,https://maps.app.goo.gl/aFDRqRUpxjcuPVTS7,card066.jpg,card566.jpg,47.55468089,7.590085405,,
117,Anatomisches Museum,,Am Ring,Museum,,https://maps.app.goo.gl/TnCrjiCD5Xau6HHu7,card067.jpg,card567.jpg,47.5649679,7.579605594,,
118,Kunsthalle Basel,,Vorstaedte,Museum,,https://maps.app.goo.gl/vpzcjmA9uVTt2sjh8,card068.jpg,card568.jpg,47.55372552,7.591372322,,
119,Antikenmuseum Basel,,Altstadt Grossbasel,Museum,,https://maps.app.goo.gl/LJd5VA6JfJLH1fgQ9,card069.jpg,card569.jpg,47.55440131,7.59320198,,
120,Historisches Museum Basel - Musikmuseum,,Altstadt Grossbasel,Museum,,https://maps.app.goo.gl/GavWXJUDk4MQYppd9,card070.jpg,card570.jpg,47.55483862,7.587930195,,
121,Museum der Kulturen Basel,,Altstadt Grossbasel,Museum,,https://maps.app.goo.gl/b1yu6nan53tf2srr5,card071.jpg,card571.jpg,47.55714032,7.590867589,,
122,Cartoonmuseum Basel,,Vorstaedte,Museum,,https://maps.app.goo.gl/gZmEM3cV442urXzL7,card072.jpg,card572.jpg,47.55454373,7.59638792,,
123,Museum fuer Gegenwartskunst,,Vorstaedte,Museum,,https://maps.app.goo.gl/AEveq8LBHnCkbN5z8,card073.jpg,card573.jpg,47.55453583,7.601499668,,
124,Juedisches Museum der Schweiz,,Vorstaedte,Museum,,https://maps.app.goo.gl/9NgrcKGRgcCo9zJg9,card074.jpg,card574.jpg,47.55647746,7.583386662,,
125,Schweizerisches Architekturmuseum,,Vorstaedte,Museum,,https://maps.app.goo.gl/rmt9BW8oQQY2m3s36,card075.jpg,card575.jpg,47.55373112,7.591200129,,
126,Skulpturhalle Basel,,Am Ring,Museum,,https://maps.app.goo.gl/VeUgBFrQwEJ9DP3D8,card076.jpg,card576.jpg,47.56040775,7.579309097,,
127,Verkehrsdrehscheibe Scweiz,,Kleinhueningen,Museum,,https://maps.app.goo.gl/kLo5Q7GneULyxkBS9,card077.jpg,card577.jpg,47.58262502,7.589419316,,
128,Zoo Basel,,Bachletten,Park,,https://maps.app.goo.gl/BiKUDpLRp1J9HtBD9,card078.jpg,card578.jpg,47.54718122,7.579003759,,
129,Christoph-Merian Park,,St. Alban,Park,,https://maps.app.goo.gl/Lz82RirbDMe6QSBC6,card079.jpg,card579.jpg,47.54700695,7.598897535,,
130,Rosenfeld Park,,St. Alban,Park,,https://maps.app.goo.gl/qaFy9PYY5GZ3ymPb9,card080.jpg,card580.jpg,47.54753066,7.596552501,,
131,Tierpark Lange Erlen,,Hirzbrunnen,Park,,https://maps.app.goo.gl/t3ECLZS3i6doy6YB7,card081.jpg,card581.jpg,47.57390017,7.607823968,,
132,Buremichelskopf-Anlage,,Bruderholz,Park,,https://maps.app.goo.gl/1xptF8TNBt7gTFrr9,card082.jpg,card582.jpg,47.53181576,7.585318825,,
134,Schwarz Park,,St. Alban,Park,,https://maps.app.goo.gl/zTdtXGM7xWaG1xsN6,card084.jpg,card584.jpg,47.54968787,7.61889987,,
135,Solitude Park,,Wettstein,Park,,https://maps.app.goo.gl/kZqxBeXUatyDG2Pr8,card085.jpg,card585.jpg,47.55900761,7.610343484,,
136,Schuetzenmattpark,,Bachletten,Park,,https://maps.app.goo.gl/SVrQQ5PFvHWS1ZLy6,card086.jpg,card586.jpg,47.55178453,7.57451757,,
137,St. Johanns Park,,St. Johann,Park,,https://maps.app.goo.gl/rU2RYrXhBYJRDeGv5,card087.jpg,card587.jpg,47.56766576,7.582484068,,
138,Erlenmatt Park,,Rosental,Park,,https://maps.app.goo.gl/nN8Wdy62n6fjekEH9,card088.jpg,card588.jpg,47.57101497,7.600862615,,
140,Garten der Alten Universitaet,,Altstadt Grossbasel,Park,,https://maps.app.goo.gl/DhxH8Z6tFgKuzW6dA,card090.jpg,card590.jpg,47.5585633,7.589667259,,
141,Wasserturm Bruderholz Park,,Bruderholz,Park,,https://maps.app.goo.gl/VMbZnwe46hoWRcXC8,card091.jpg,card591.jpg,47.52815573,7.592514012,,
143,Basel Dreispitz,,St. Alban,Stations,,https://maps.app.goo.gl/dQMKb8286GZhGnNz7,card093.jpg,card593.jpg,47.53726785,7.609524018,,
144,Basel Baden Station,Basel Baden Station,Hirzbrunnen,Stations,,https://maps.app.goo.gl/5EcFLdRvCqQ6C7Ea6,card094.jpg,card594.jpg,47.56739525,7.60714544,,
